file,sheets,count
Conditional Formatting Excel Tutorial File.xlsx,"Demographics, Sales",2
Data Cleaning Excel Tutorial.xlsx,US_Presidents Excel Tutorial Da,1
Excel Charts Tutorial File.xlsx,"Sales, Chart Sheet",2
Excel Project Dataset.xlsx,bike_buyers,1
Formula Excel Template.xlsx,"Max-Min, IF-IFS, Len, LeftRight, DateToText, TRIM, Substitute, SUM-SumIF, Count-CountIF, Concatenate, Days-NetworkDays",11
Lambda Functions.xlsx,"Discount, Example",2
Most Common Excel Functions.xlsx,"Aggregate Functions, Year-Month-Day, Formatting, Logical, Lookup",5
Popular Excel Functions.xlsx,"DateDif, TextSplit, IF, Substitute, XLookUp",5
Uncommon Excel Functions.xlsx,"PMT, FormulaText, LET, Hyperlink, EOMONTH",5
XLOOKUP Excel Tutorial File.xlsx,"XLookUp, XLookUp Multiple Rows, XLookUp Exact Match, XLookUp Search Order, XLookUp Horizontal, XLookUp w SUM, VLookUp",7
